ingredient,calories,protein,fat,carbohydrates,fiber,calcium
sawo kecik. segar,111,0.9,2.3,21.6,1.0,20.0
sawo manila. segar,92,0.5,1.1,22.4,9.5,25.0
semangka. segar,28,0.5,0.2,6.9,0.4,7.0
sirsak. segar,65,1.0,0.3,16.3,3.2,14.0
sowa. segar,48,1.6,0.6,9.1,45.0,50.0
srikaya. segar,63,1.1,0.5,13.9,2.1,127.0
sukun muda. segar,119,1.4,0.2,28.1,1.4,24.0
sukun tua. segar,126,1.6,0.2,24.5,1.5,37.0
vigus. segar,44,2.4,0.1,8.3,0.0,30.0
wani. segar,74,0.8,0.3,17.1,3.1,66.0
mentimun suri. segar,16,1.3,0.0,2.1,0.9,768.0
blewah. segar,34,0.8,0.2,8.2,0.9,9.0
ayam. ampela. goreng,270,32.3,11.2,9.9,0.0,129.0
ayam. usus. goreng,473,45.2,26.3,13.9,0.0,1.407
bebek. daging. goreng,300,24.0,20.7,4.5,0.0,170.0
buaya. daging. dendeng. mentah,365,49.6,4.8,30.8,0.0,60.0
ham,384,16.9,35.0,0.3,0.0,10.0
itik alabio. daging. dendeng. mentah,496,30.3,33.5,18.4,0.0,135.0
kerupuk urat,588,53.7,40.9,1.2,0.0,36.0
menjangan. daging. dendeng. mentah,322,55.8,2.0,22.7,0.0,55.0
punai. daging. goreng,224,26.2,11.3,4.4,0.0,362.0
rusa. daging. dendeng. mentah,536,40.5,41.5,0.0,0.0,90.0
sapi. abon,212,18.0,10.6,59.3,7.5,150.0
sapi. abon. asli,358,14.6,16.1,38.6,2.5,165.0
sapi. daging. asap,182,32.0,6.0,0.0,0.0,15.0
sapi. daging. dendeng. mentah,301,55.0,9.0,0.0,0.0,30.0
sapi. daging. kornet,289,16.0,25.0,0.0,0.0,10.0
sapi. daging. sosis (worst),448,14.5,42.3,2.3,0.0,28.0
sapi. hati. sosis (liverworst),274,16.0,22.0,3.0,2.3,20.0
sapi. paru. dendeng. mentah,360,57.3,6.0,19.2,0.0,126.0
sapi. paru. goreng,268,23.9,12.7,14.5,0.0,102.0
ulat sagu. panggang,380,11.9,30.3,14.9,4.8,30.0
ayam goreng church texas. dada,338,35.2,20.6,0.4,0.0,79.0
ayam goreng church.texas paha,287,31.0,15.7,1.7,0.0,99.0
mangga golek. segar,63,0.5,0.2,16.7,2.3,14.0
mangga harumanis. segar,46,0.4,0.2,11.9,1.7,15.0
mangga indramayu. segar,72,0.8,0.2,18.7,2.5,13.0
mangga kopek. segar,56,0.4,0.2,14.6,2.0,16.0
mangga kwini. segar,86,0.7,0.5,19.8,6.5,11.0
mangga manalagi. segar,133,1.0,0.1,32.1,11.8,20.0
mangga muda. segar,59,0.5,0.4,15.1,0.0,12.0
manggis. segar,63,0.6,0.6,15.6,1.5,8.0
markisa. segar,144,3.5,1.2,29.8,11.4,27.0
matoa. segar,90,1.2,0.1,21.1,0.5,20.0
melon. segar,37,0.6,0.4,7.8,1.0,12.0
menteng. segar,65,1.7,0.3,16.1,0.0,13.0
nanas palembang. segar,58,0.7,0.2,13.3,1.6,29.0
nanas. segar,40,0.6,0.3,9.9,0.6,22.0
nangka masak pohon. segar,106,1.2,0.3,27.6,3.7,20.0
pala. daging. segar,42,0.3,0.2,10.9,0.5,32.0
pepaya. segar,46,0.5,12.0,12.2,1.6,23.0
pisang ambon. segar,108,1.0,0.8,24.3,1.9,20.0
pisang angleng (pisang ampyang). segar,68,1.3,0.2,17.2,0.8,10.0
pisang ayam. segar,120,1.1,0.2,26.8,4.1,20.0
pisang gapi. segar,127,2.1,0.3,31.1,11.7,0.0
pisang goroho. segar,115,1.9,0.2,27.9,4.6,0.0
pisang hijau. segar,117,2.0,0.3,28.9,0.4,0.0
pisang kayu. segar,100,1.4,0.5,23.6,2.6,15.0
pisang kepok. segar,109,0.8,0.5,26.3,5.7,10.0
pisang ketip. segar,145,1.1,0.3,34.5,6.6,5.0
pisang kidang. segar,96,1.0,0.2,22.5,0.6,87.0
pisang lampung. segar,99,1.3,0.2,25.6,4.3,10.0
pisang mas bali ampenan. segar,92,1.4,0.2,21.0,3.7,7.0
pisang mas bali kopang. segar,127,1.4,0.2,31.8,3.7,10.0
pisang mas. segar,127,1.4,0.2,33.6,1.4,7.0
pisang raja sereh. segar,108,1.3,0.3,28.2,0.7,16.0
pisang raja. segar,120,1.2,0.2,31.8,5.3,10.0
pisang rotan. segar,98,1.3,1.2,20.5,1.0,17.0
pisang talas. segar,113,1.2,0.2,26.7,4.4,22.0
pisang tujuh bulan,94,0.6,0.2,22.5,3.7,50.0
pisang ua. segar,128,0.8,0.5,30.2,8.1,12.0
pisang uli. segar,134,1.1,0.5,35.5,1.4,31.0
purut. segar,76,4.1,1.1,15.2,1.7,30.0
rambutan binjai. segar,76,0.5,0.2,18.0,3.8,15.0
buah rukam. segar,113,0.8,0.3,26.8,7.7,108.0
buah ruruhi. segar,29,2.1,0.7,3.6,2.6,6.0
buah tuppa. segar,67,0.4,0.2,15.9,0.0,12.0
carica papaya. segar,24,1.9,0.2,3.7,1.0,51.0
cempedak. segar,116,3.0,0.4,28.6,3.4,20.0
duku. segar,63,1.0,0.2,16.1,4.3,18.0
durian. segar,134,2.5,3.0,28.0,3.5,7.0
duwet. segar,80,0.5,0.6,18.2,0.9,33.0
embacang. segar,98,1.4,0.2,25.4,1.9,21.0
encung asam. segar,122,3.5,4.5,17.5,9.3,63.0
erbis. segar,70,0.6,0.0,18.9,7.7,11.0
gandaria masak,68,0.7,0.1,18.0,2.2,9.0
gatep. segar,191,4.5,1.5,39.7,13.4,186.0
jambu air. segar,46,0.6,0.2,11.8,2.1,8.0
jambu biji,49,0.9,0.3,12.2,2.4,14.0
jambu biji putih tidak berbiji,61,0.9,0.3,15.4,4.5,31.0
jambu bol. segar,49,2.3,0.2,9.6,3.5,8.0
jambu monyet. segar,64,0.7,0.6,15.8,1.2,4.0
jeruk bali. segar,48,0.6,0.2,12.4,0.8,23.0
jeruk banjar. segar,61,0.8,0.2,14.1,0.0,9.0
jeruk garut-keprok,44,0.8,0.3,10.9,1.6,33.0
jeruk kalamansi. segar,39,0.3,0.3,8.9,2.3,42.0
jeruk manis. segar,45,0.9,0.2,11.2,1.4,33.0
jeruk nipis. segar,44,0.5,0.2,10.0,0.4,18.0
jeruk ragi. segar,49,0.7,0.2,11.1,0.5,36.0
kawista. segar,120,3.5,2.5,20.8,4.6,190.0
kedondong masak. segar,46,1.0,0.1,10.3,2.6,15.0
kedondong. segar,47,0.5,0.2,10.4,2.7,7.0
kelapa hutan. kering,623,2.0,52.1,36.5,15.3,120.0
kelapa muda. daging. segar,68,1.0,0.9,14.0,0.0,7.0
kemang. segar,48,1.0,0.2,11.9,1.7,10.0
kesemek. segar,78,0.8,0.4,20.0,0.6,6.0
kokosan. segar,86,1.6,0.2,13.0,1.4,22.0
kranji. segar,315,2.1,1.4,73.5,0.0,160.0
langsat. segar,56,0.9,0.2,14.3,1.4,17.0
lemon. segar,34,0.5,0.8,6.2,0.1,23.0
lontar. segar,27,0.4,0.2,6.0,1.6,91.0
mangga. segar,52,0.7,0.0,12.3,1.6,20.0
mangga benggala. segar,63,2.4,0.4,12.4,5.8,9.0
mangga gedung. segar,44,0.7,0.2,11.2,1.6,13.0
terong hintalo. segar,45,1.9,0.8,7.5,5.1,19.0
terung panjang,25,2.1,0.1,5.3,0.5,38.0
tomat. air (sari). segar,20,1.0,0.2,3.5,0.4,7.0
tomat merah. segar,24,1.3,0.5,4.7,0.0,8.0
tomat muda. segar,24,2.0,0.7,3.3,1.8,5.0
uceng/ bunga melinjo. segar,82,5.8,1.3,11.7,4.8,70.0
umbut kelapa. segar,39,2.0,0.2,7.2,2.5,57.0
umbut rotan,34,2.4,0.3,5.5,2.2,89.0
wortel. segar,36,1.0,0.6,7.9,1.0,45.0
barongko,159,3.1,5.8,23.5,0.0,35.0
dodol nanas,338,1.5,1.2,80.3,0.0,0.0
getuk pisang,144,1.1,0.4,34.1,0.4,48.0
keripik lampung,485,1.7,22.2,69.7,0.6,43.0
ledre pisang,405,4.8,5.1,84.9,0.4,59.0
lempog durian,320,3.5,5.7,63.7,4.9,190.0
loka anjoro,163,1.1,4.3,30.0,0.0,0.0
rica-rica taipa,49,1.6,0.3,10.0,0.0,11.0
rujak aceh,82,0.4,0.3,19.7,2.4,0.0
sale kesemek,296,1.1,0.6,71.4,0.0,0.0
sale pisang siam,281,2.4,0.7,66.1,1.0,41.0
sale pisang. cilacap,295,2.3,2.1,66.9,1.3,47.0
sanggara belanda,242,6.4,7.1,38.2,0.0,0.0
tepung pisang,338,2.9,0.4,80.6,5.3,23.0
tepung sukun,353,2.9,0.5,84.4,3.7,100.0
alpukat. segar,85,0.9,6.5,7.7,0.0,10.0
anggur hutan. segar,30,0.5,0.2,6.8,1.2,39.0
apel malang. segar,57,0.5,0.4,12.8,0.8,9.0
apel. segar,58,0.3,0.4,14.9,2.6,6.0
arbai. segar,37,0.8,0.5,8.3,0.0,28.0
belimbing. segar,36,0.4,0.4,8.8,3.3,4.0
biwah. segar,51,0.3,0.1,12.1,0.7,220.0
buah atung. segar,23,0.8,0.2,5.2,0.0,30.0
buah kelenting. segar,110,1.4,2.1,21.4,0.0,8.0
buah kom. segar,264,4.0,1.1,59.6,9.0,306.0
buah mentega (bisbul). segar,39,0.7,0.2,9.7,2.0,43.0
buah naga merah. segar,71,1.7,3.1,9.1,3.2,13.0
buah naga putih. segar,56,0.8,1.0,10.9,3.2,13.0
buah negri. segar,55,1.2,0.1,12.2,5.2,30.0
buah nona. segar,101,1.7,0.6,25.2,2.8,27.0
buah rotan. segar,78,0.6,0.3,18.2,0.0,1.0
kucai muda (lokio). segar,42,3.8,0.6,7.8,4.9,76.0
kulit melinjo,111,4.5,1.1,20.7,5.0,117.0
kundur. segar,22,0.4,0.2,4.7,1.3,3.0
labu air. segar,19,0.6,0.2,3.8,0.6,12.0
labu kuning. segar,51,1.7,0.5,10.0,2.7,40.0
labu siam. segar,30,0.6,0.1,6.7,6.2,14.0
labu waluh. segar,32,1.1,0.1,6.6,0.5,45.0
lantar. segar,34,2.2,0.3,5.5,2.9,10.0
lobak. segar,21,0.9,0.1,4.2,1.4,35.0
lumai/leunca. segar,38,1.1,0.3,7.6,2.0,7.0
melinjo. segar,66,5.0,0.7,13.3,0.0,163.0
mostarda metan - sawi hijau,33,2.3,0.5,4.7,1.8,60.0
nangka muda. segar,57,2.0,0.4,11.3,8.3,45.0
paria putih. segar,19,1.0,0.4,3.6,1.3,31.0
pepare ular. segar,19,0.6,0.1,3.9,1.0,20.0
pepaya muda. segar,29,2.1,0.1,4.9,2.1,50.0
petai. segar,92,5.4,1.1,15.2,2.0,14.0
peterseli. segar,53,3.7,1.0,9.0,0.0,193.0
pucuk lumai/daun leunca. segar,33,4.5,0.4,2.8,0.0,13.0
putri malu. segar,76,3.6,0.3,14.6,7.1,119.0
rebung. segar,25,0.8,0.1,5.3,9.7,3.0
rimbang. segar,75,1.6,0.6,15.8,10.0,55.0
rumput laut,41,1.4,0.3,8.1,2.2,80.0
sawi. segar,28,2.3,0.3,4.0,2.5,220.0
sawi putih / pecai. segar,9,1.0,0.1,1.7,0.8,56.0
sawi taiwan. segar,30,1.9,0.5,4.4,2.7,100.0
sawi tanah. segar,19,1.3,0.2,2.9,2.2,92.0
selada. segar,18,1.2,0.2,2.9,1.8,22.0
selada air. segar,17,3.1,0.2,2.2,0.7,95.0
seledri. segar,23,1.0,0.1,4.6,2.0,50.0
taoge. segar,34,3.7,1.2,4.3,1.1,166.0
taoge kacang kedelai. segar,76,9.0,2.6,6.4,0.7,50.0
taoge kacang tunggak. segar,40,5.0,0.2,5.8,2.6,57.0
tebu terubuk (lilin). segar,30,4.6,0.4,3.0,0.8,40.0
tekokak. segar,34,2.0,0.1,7.9,4.9,50.0
tekokak. kering,302,8.3,1.7,72.6,21.2,370.0
terong. segar,28,1.1,0.2,5.5,2.1,15.0
terong asam. segar,37,2.0,0.4,6.3,3.2,13.0
terung belanda. segar,52,2.1,1.1,8.6,1.4,16.0
terung bengkulu. segar,52,1.1,0.4,11.2,3.2,19.0
daun ubi kuning. segar,62,3.7,0.3,11.1,6.4,170.0
daun ubi merah. segar,48,3.0,0.3,10.8,1.4,80.0
daun ubi putih. segar,46,2.8,0.2,8.2,4.8,120.0
daun ubi tinta. segar,55,1.7,0.1,11.9,7.6,120.0
eceng. segar,19,1.0,0.2,3.8,1.8,80.0
gambas (oyong). segar,19,0.8,0.2,4.1,1.3,19.0
genjer. segar,35,1.7,0.2,7.7,2.5,62.0
jagung muda / semi. segar,35,2.2,0.1,7.4,1.9,7.0
jamur encik,296,9.4,1.1,62.0,0.0,5.0
jamur kuping. kering,294,16.0,0.9,64.6,46.5,51.0
jamur kuping. segar,21,3.8,0.6,0.9,5.1,3.0
jamur merang. segar,30,3.5,0.2,4.0,2.4,14.0
jamur tiram. segar,30,1.9,0.1,5.5,3.6,9.0
jamur sagu,48,1.9,3.2,2.8,1.0,10.0
jantung pisang. segar,32,1.2,0.3,7.1,3.2,30.0
jengkol. segar,192,5.4,0.3,40.7,1.5,4.0
jotang. segar,34,1.9,0.3,7.1,3.5,162.0
kabau. segar,130,6.7,0.3,25.2,2.9,4.0
kacang mekah. polong. segar,22,1.1,1.0,3.4,1.1,63.0
kacang panjang. segar,31,2.3,0.1,5.3,2.7,60.0
kacang ranti polong,37,3.1,0.2,7.9,2.5,103.0
kalakai. segar,38,2.4,0.2,6.6,5.8,18.0
kangkung. segar,28,3.4,0.7,3.9,2.0,67.0
kangkung tondano,43,1.8,0.2,8.4,4.3,72.0
kapri muda. segar,45,3.3,0.2,9.0,1.8,51.0
karawila,25,2.3,0.2,3.5,2.1,25.0
kecipir muda. segar,32,2.9,0.2,5.8,5.5,63.0
kecombrang. segar,34,0.9,1.0,6.7,2.6,60.0
kelawi.kluwih. segar,118,1.5,0.3,27.2,5.0,28.0
kembang turi. segar,51,1.8,0.6,9.6,5.0,23.0
kerokot. segar,26,1.7,0.4,3.8,1.0,103.0
ketimun. segar,8,0.2,0.2,1.4,0.3,29.0
ketimun krai. segar,10,0.5,0.2,2.0,0.6,20.0
ketimun madura. segar,9,0.5,0.1,1.9,0.7,15.0
komak. segar,99,3.3,0.1,21.2,10.3,50.0
kembang kol,25,2.4,0.2,4.9,1.6,22.0
kol merah. kol putih,29,1.4,0.2,5.3,1.9,46.0
koro kerupuk. polong,128,8.3,0.7,22.1,0.0,17.0
koro wedus. polong,46,3.0,0.3,7.9,3.3,56.0
kucai. segar,45,2.2,0.3,10.3,4.8,52.0
daun kelor. segar,92,5.1,1.6,14.3,8.2,1.077
daun kemangi. segar,43,5.5,0.3,7.5,8.4,35.0
daun kenikir. segar,45,3.7,0.5,6.6,5.8,328.0
daun kesum. segar,48,4.5,0.8,9.1,1.6,125.0
daun kol sawi. segar,22,2.1,0.5,3.6,0.9,200.0
daun koro. segar,23,3.0,0.3,3.7,0.0,134.0
daun kubis. segar,51,2.5,1.1,8.0,3.4,100.0
daun kumak. segar,14,1.3,0.3,2.3,0.9,90.0
daun labu siam. segar,34,4.0,0.4,4.7,3.5,58.0
daun labu waluh/kuning. segar,34,3.6,0.6,4.5,2.9,138.0
daun lamtoro. segar,87,8.3,1.8,14.4,3.3,725.0
daun leilem. segar,76,2.8,0.2,15.8,3.1,296.0
daun leunca. segar,49,4.7,0.5,8.1,0.0,210.0
daun lobak. segar,30,2.3,0.4,5.8,3.2,140.0
daun lompong talas. segar,44,3.0,0.8,7.4,3.3,76.0
daun mangkokan. segar,57,3.7,0.3,11.8,0.0,474.0
daun matel ambon. segar,71,6.8,1.6,11.5,4.6,93.0
daun melinjo. segar,104,5.0,1.3,21.3,10.3,219.0
daun mengkudu. segar,65,4.0,1.7,11.4,3.9,296.0
daun ndusuk. segar,166,1.7,0.5,38.8,10.7,40.0
daun oyong. segar,22,1.0,0.1,5.3,2.0,21.0
daun pakis. segar,39,4.5,0.4,6.9,2.0,136.0
daun pakis longgiho. segar,54,2.2,3.6,3.1,2.1,40.0
daun pakis wambateu. segar,53,3.4,1.2,7.2,4.8,30.0
daun paku. segar,29,3.4,0.1,6.5,4.3,13.0
daun pangi.segar,104,3.9,0.6,17.9,8.3,256.0
daun pare. segar,49,2.7,1.0,8.4,3.0,217.0
daun pepaya. segar,87,8.0,2.0,11.9,1.5,353.0
daun pohpohan. segar,37,2.5,0.8,6.9,2.6,744.0
daun selasih. segar,62,4.0,0.5,10.5,5.3,122.0
daun semanggi. segar,45,4.4,0.5,8.5,1.9,98.0
daun simpur. segar,53,3.2,2.5,7.6,1.6,228.0
daun singkil. segar,68,2.0,1.0,15.2,3.3,178.0
daun singkong. segar,50,6.2,1.1,7.1,2.4,166.0
daun singkong ambon. segar,144,12.7,1.2,25.2,10.2,165.0
daun singkong ampenan. segar,50,6.2,1.1,7.1,2.4,352.0
daun singkong kopang. segar,74,6.3,0.7,10.7,4.6,142.0
daun sintrong. segar,36,2.6,0.9,6.1,1.7,398.0
daun talas. segar,59,3.0,0.4,13.5,3.0,236.0
daun tespong. segar,70,2.9,0.3,13.9,2.3,155.0
tumis bayam bersantan,48,1.4,4.2,2.6,0.5,129.0
waluh balamak,45,0.8,0.9,8.1,7.9,25.0
woku ubi,143,3.1,7.8,15.0,7.0,195.0
akar tonjong. segar,45,1.1,0.4,10.8,1.2,72.0
ale.toge. segar,37,4.4,0.5,3.8,1.7,50.0
andaliman. segar,99,4.6,1.0,18.0,8.5,383.0
andewi. segar,226,1.6,0.2,5.3,4.1,33.0
bakung. segar,27,2.0,0.2,4.2,3.8,19.0
baligo. segar,15,0.4,0.2,3.0,0.4,19.0
bawang bombay. segar,43,1.4,0.2,10.3,2.0,32.0
bayam. segar,16,0.9,0.4,2.9,0.7,166.0
bayam merah. segar,41,2.2,0.8,6.3,2.2,520.0
bit. segar,41,1.6,0.1,9.6,2.6,27.0
buah kelor,38,1.5,0.2,7.5,3.2,30.0
buah merah,87,2.6,2.7,13.1,4.0,30.0
buncis. segar,34,2.4,0.3,7.2,1.9,101.0
bunga pepaya. segar,45,2.6,0.3,8.1,1.6,290.0
bunga turi. segar,42,2.0,1.1,6.1,3.3,28.0
caisin. segar,20,1.7,0.4,3.4,1.2,123.0
daun bangun-bangun. segar,27,1.3,0.6,4.0,1.0,279.0
daun bawang merah. segar,41,2.0,0.3,7.8,2.1,60.0
daun bebuas. segar,41,2.7,1.0,7.3,2.1,29.0
daun belem. segar,50,4.4,1.4,7.8,1.9,698.0
daun bluntas. segar,44,1.8,0.5,9.4,0.0,256.0
daun gandaria. segar,63,3.1,0.3,14.0,2.1,40.0
daun gedi besar. segar,58,2.9,0.7,10.0,3.3,440.0
daun gedi kecil. segar,61,3.2,0.7,10.4,3.4,420.0
daun gelang. segar,30,1.3,0.7,5.8,1.3,350.0
daun gunda bali. segar,50,4.6,0.9,7.0,1.4,167.0
daun gunda serang. segar,62,4.2,0.9,9.2,1.3,171.0
daun jambu mete muda. segar,78,4.6,0.5,16.2,3.0,33.0
daun jampang. segar,34,3.8,0.5,5.3,1.4,21.0
daun jawaw seluang. segar,93,5.0,1.3,15.3,3.9,146.0
daun jonghe. segar,27,2.1,0.7,4.4,2.0,253.0
daun kacang ma. segar,36,2.9,0.6,6.8,1.8,64.0
daun kacang panjang. segar,30,3.1,0.3,5.8,1.7,200.0
daun kasbi/singkong karet. segar,92,4.0,3.6,10.9,5.8,140.0
daun katuk. segar,59,6.4,1.0,9.9,1.5,233.0
daun kecipir. segar,52,5.0,0.5,8.5,0.0,134.0
daun kedondong. segar,59,3.5,0.3,13.4,10.7,540.0
terung panjang. kukus,23,1.8,0.1,4.9,0.4,40.0
wortel. rebus,28,0.7,0.5,6.3,0.8,46.0
wortel. kukus,37,1.0,0.6,8.3,1.1,44.0
asinan bogor. sayuran,98,3.9,2.6,14.8,0.5,314.0
anyang. sayur,126,3.4,7.9,10.3,5.4,180.0
ares. sayur,113,0.9,7.2,11.2,4.7,63.0
arwan sirsir,277,2.4,25.0,10.7,4.6,120.0
beberuk,65,1.1,5.2,3.5,3.1,179.0
botok lamtoro,186,11.7,9.7,13.0,2.1,771.0
buntil daun talas,141,4.4,10.2,8.0,1.8,149.0
cammetutu,102,3.2,6.0,8.7,4.3,41.0
cap cai. sayur,97,5.8,6.3,4.2,0.6,287.0
gado-gado,137,6.1,3.2,21.0,1.1,301.0
gudeg. sayur,160,3.3,9.2,16.0,2.3,62.0
gulai pakis,143,4.0,11.4,6.0,1.4,548.0
gulai pliek,176,7.3,14.9,3.2,0.0,39.0
kadada katembe,110,4.5,6.9,7.1,3.9,26.0
kaparende. sayur,38,2.4,2.0,2.6,1.5,126.0
karedok. sayur,92,2.2,3.3,14.1,1.4,174.0
keripik bayam,586,4.9,40.6,50.2,0.5,236.0
kotiu hinela tawang nggole,46,2.2,1.5,6.0,3.8,64.0
lema/rebung asam,15,1.0,0.4,1.9,0.0,17.0
lilin bungkus gedi,79,2.3,5.2,5.8,2.5,170.0
olah-olah,9,2.1,6.0,7.1,4.4,26.0
paku hinela wulelenggapaya,77,3.5,4.6,5.4,3.6,63.0
pelecing kangkung,75,2.5,2.8,10.0,5.4,36.0
purundawa,25,1.5,0.5,3.6,1.7,147.0
rujak cingur,153,11.3,8.4,8.0,1.4,256.0
sayur asem,29,0.7,0.6,5.0,0.6,40.0
sayur bunga pepaya,49,1.7,0.3,9.8,2.7,220.0
sayur garu,178,2.6,13.9,10.6,8.4,30.0
sayur kohu-kohu,133,7.3,6.6,11.2,1.2,40.0
sayur lilin-terubuk,36,2.7,0.7,4.8,1.4,10.0
sayur ndusuk,49,3.1,2.5,3.6,0.0,11.0
sayur sop,27,1.3,2.0,1.0,0.3,168.0
sayur umbut kelapa,67,5.2,2.9,5.1,1.4,48.0
sayur umbut rotan,57,5.4,2.6,3.1,1.6,184.0
shabu-shabu,88,3.2,8.0,0.8,0.9,217.0
semur jengkol,212,6.0,10.0,29.1,0.0,77.0
tinira ninahu nggaluku,33,1.2,1.3,4.1,3.1,35.0
kacang tanah sangan tanpa selaput,559,26.9,44.2,23.6,2.6,74.0
kacang tanah. kering,525,27.9,42.7,17.4,2.4,316.0
kacang tolo / tunggak. kering,331,24.4,1.9,56.6,1.6,481.0
kacang tunis. kering,351,12.2,1.2,72.9,29.5,120.0
kacang uci. kering,358,23.4,2.4,60.6,7.4,269.0
kacang urei. kering,354,12.8,1.8,69.3,26.1,220.0
kenari banda. kering,616,13.9,56.2,13.7,0.0,0.0
kenari. kering,657,15.0,66.0,13.0,0.0,92.0
komak polong. segar,99,3.3,0.1,21.2,10.3,50.0
koro andong. kering,356,20.5,4.1,61.6,7.0,150.0
koro benguk. biji. kering,332,24.0,3.0,55.0,5.6,30.0
koro kerupuk. biji. segar,125,8.3,0.7,22.1,2.2,17.0
koro loke. biji. segar,33,2.7,0.2,7.9,3.5,60.0
koro roay. kering,344,12.5,2.1,69.4,7.5,70.0
koro wedus. biji. kering,338,22.2,1.5,61.0,5.8,88.0
lamtoro biji. muda. segar,85,5.7,0.3,15.4,10.8,180.0
lamtoro biji. tua. segar,148,10.6,0.5,26.2,17.0,155.0
lamtoro var. gung tanpa kulit,367,46.4,5.4,32.5,2.6,136.0
lamtoro var. lokal dengan kulit,336,23.8,1.2,59.7,15.4,867.0
nangka. biji. segar,165,4.2,0.1,36.7,1.8,33.0
saga merah terkupas. mentah,449,30.6,25.5,31.9,3.5,1.062
wijen. mentah,568,19.3,51.1,18.1,3.6,1.125
bayam. kukus,30,1.3,0.7,5.8,1.2,239.0
bayam. rebus,23,1.2,0.6,3.7,1.1,150.0
buncis. rebus,30,2.2,0.2,6.4,1.5,107.0
daun kacang panjang. kukus,40,3.7,0.3,8.0,1.8,111.0
daun katuk. rebus,53,5.3,0.9,9.1,1.2,185.0
daun kelor. rebus,61,6.1,0.9,10.0,0.9,255.0
daun mengkudu. kukus,63,3.8,1.5,11.5,2.4,300.0
daun singkong. rebus,31,3.7,0.6,4.8,1.6,160.0
daun talas. rebus,27,1.3,0.2,5.9,1.6,119.0
daun ubi merah. kukus,56,3.1,0.3,13.0,1.5,78.0
kacang panjang. kukus,39,3.0,0.6,7.6,1.7,100.0
kacang panjang. rebus,30,2.3,0.4,5.8,1.4,71.0
kangkung. kukus,30,3.2,0.7,4.7,1.8,70.0
kangkung. rebus,22,2.5,0.6,3.1,1.2,50.0
paria putih. kukus,16,0.8,0.2,3.4,1.2,16.0
selada. rebus,19,2.7,0.2,2.9,0.7,83.0
taoge. goreng,88,3.2,2.1,14.0,0.7,168.0
taoge. seduh,28,3.0,0.8,4.0,1.0,52.0
tempe kedelai murni. mentah,201,20.8,8.8,13.5,1.4,155.0
tempe koro benguk,141,10.2,1.3,23.2,0.0,42.0
tempe lamtoro,128,10.7,0.5,21.3,7.1,203.0
tempe lamtoro var. gung dengan kulit,146,11.7,2.3,19.6,7.6,128.0
tempe lamtoro var. gung tanpa kulit,131,18.0,0.8,13.0,1.3,95.0
tempe pasar,150,14.0,7.7,9.1,1.4,517.0
tempe pasar goreng,336,20.0,28.0,7.8,3.4,156.0
tepung hunkwe (pati kacang ijo),364,4.5,1.0,83.5,16.1,50.0
tepung jalejo,388,19.0,7.5,61.2,5.8,101.0
tepung kacang kedelai,347,35.9,20.6,29.9,5.8,195.0
kacang arab. kering,330,23.8,1.4,60.2,17.4,57.0
kacang babi. kering,341,30.4,3.2,51.3,4.5,178.0
kacang belimbing (kecipir). kering,400,34.4,16.9,34.1,10.7,468.0
kacang beracun. segar,118,4.4,1.5,21.6,0.0,50.0
kacang bogor. kering,370,16.0,6.0,65.0,26.3,85.0
kacang bogor. segar,165,7.7,3.1,27.4,2.5,96.0
kacang endel. biji. kering,331,25.0,1.0,58.0,23.6,80.0
kacang ercis. segar,129,12.4,0.7,18.3,28.6,40.0
kacang galing. segar,336,23.1,1.7,59.5,0.0,80.0
kacang gude. biji. kering,316,20.7,1.0,58.0,4.6,146.0
kacang gude. biji. segar,114,7.0,0.6,20.8,4.4,3.0
kacang hijau var. bakti. kering,350,17.1,1.8,70.7,5.7,94.0
kacang hijau var. siwalik. kering,339,20.8,2.1,64.6,7.4,122.0
kacang hijau. kering,323,22.9,1.5,56.8,7.5,223.0
kacang hitam. kering,346,16.6,1.7,66.1,22.8,70.0
kacang kapri. segar,98,6.7,0.4,17.7,6.2,22.0
kacang kedelai. kering,381,40.4,16.7,24.9,3.2,222.0
kacang kedelai. segar,286,30.2,15.6,30.1,0.0,196.0
kacang kincai. kering,444,19.9,16.0,55.0,0.0,26.0
kacang komak. segar,327,16.4,4.3,55.8,0.5,74.0
kacang kuning. kering,355,17.0,2.5,66.0,15.1,140.0
kacang lebui /iris. kering,346,16.5,1.5,66.6,37.3,144.0
kacang mentega. kering,344,16.7,2.1,64.6,13.0,110.0
kacang merah/banda. kering,350,13.9,3.0,66.9,26.3,84.0
kacang merah tua. kering,280,16.7,1.6,63.2,4.6,209.0
kacang merah. kering,314,22.1,1.1,56.2,4.0,502.0
kacang merah. segar,171,11.0,2.2,28.0,2.1,293.0
kacang mete/biji jambu monyet. segar,616,16.3,48.4,28.7,0.9,26.0
kacang panjang. biji. kering,357,17.3,1.5,68.6,10.6,163.0
kacang tanah sangan,560,29.5,43.0,24.1,2.9,107.0
kembang tahu,380,48.9,13.8,23.3,0.0,378.0
kembang tahu rebus,90,10.7,4.0,4.7,0.0,85.0
keripik oncom,598,8.3,43.8,42.6,3.3,85.0
keripik tempe,581,12.1,40.6,41.7,2.2,237.0
keripik tempe abadi besar,556,15.8,37.1,39.8,3.5,112.0
keripik tempe abadi murni,542,40.3,42.4,11.6,2.2,175.0
keripik tempe abadi sedang,510,12.3,27.9,52.4,3.6,122.0
